BSI_New,QE
201.9143568,35.35186842
206.9881355,37.53103756
211.8589629,38.45011
216.7297904,38.53073039
221.6006179,39.45383385
224.441934,41.2234514
226.8773477,43.02934813
229.3127615,44.69012816
231.7481752,46.39928042
234.1835889,48.2374253
236.7349748,49.92815004
240.2721233,51.60735759
245.1429508,51.89759099
250.0137783,50.94627039
254.4787035,49.50800264
257.4939776,47.91033686
260.5672378,46.35897022
263.4085539,44.75462447
266.1918839,43.1145754
268.6852837,41.72329782
273.5561111,40.80422537
278.4269386,40.73972906
283.2977661,41.86841452
287.7626913,43.51307047
292.0923158,45.30284312
295.8807371,46.89590202
300.3456623,48.41479016
305.2164898,49.46285522
310.0873173,50.04332203
314.9581448,50.26905912
319.8289723,50.14006649
324.6997998,50.30130727
329.5706273,50.25293504
334.4414548,49.86595717
339.3122823,49.49510338
344.1831097,49.59184784
349.0539372,49.72084047
353.9247647,49.31773852
358.7955922,48.80176803
363.6664197,49.05975327
368.8271774,50.10781834
372.6977457,51.59526453
375.4375861,53.55837101
378.2789022,55.40457794
381.5261205,57.19435059
384.4834086,58.69043468
387.7499556,60.28211151
391.6736778,61.92999227
396.138603,63.44243078
401.0094305,64.66786071
405.8802579,65.50631276
410.3451831,66.61887414
412.7805969,68.27965416
415.2160106,70.23066759
417.9993406,72.19319822
420.2221389,73.79408881
424.5517633,75.50324107
429.4225908,77.00278032
434.2934183,78.56681588
439.1642458,80.14697552
444.0350733,81.75938331
448.9059008,83.12992993
453.7767283,83.87163752
458.6475557,84.30698762
463.5183832,85.04869521
468.3892107,85.96776765
473.2600382,86.58048261
478.1308657,87.06420495
483.0016932,88.08002186
487.8725207,89.35382401
492.7433482,90.03103529
497.6141757,90.16002791
502.4850031,90.41801316
507.3558306,90.91785957
512.2266581,91.56282269
517.0974856,92.30453027
521.9683131,92.75600446
526.8391406,92.868873
531.7099681,93.07848601
536.5807956,93.48158796
541.4516231,93.90081399
546.3224505,94.33616409
551.193278,94.73926604
556.0641055,95.07787168
560.934933,95.19074022
565.8057605,95.19074022
570.676588,95.19074022
575.5474155,95.30360877
580.418243,95.28748469
585.2890705,94.99725129
590.159898,94.80376235
595.0307254,94.85213459
599.9015529,94.93275498
604.7723804,94.69089381
609.6432079,94.44903264
614.5140354,94.61027342
619.3848629,94.7715142
624.2556904,94.46515672
629.1265179,94.02980661
633.9973454,93.65895282
638.8681728,93.36871942
643.7390003,93.33647126
648.6098278,93.36871942
653.4806553,92.85274892
658.3514828,92.01429687
663.2223103,91.36933375
668.0931378,90.75661879
672.9639653,89.49894071
677.8347928,87.85428477
682.7056202,87.28994204
687.5764477,87.48343097
692.0413729,86.25800105
694.8247029,84.60413134
697.3760888,83.04239922
702.1889302,82.35597419
707.0597577,83.00093731
711.9305852,82.80744837
716.3955104,81.51107251
720.1839318,79.95348658
722.5420308,78.46776797
725.673277,76.86457394
728.2246629,75.23373863
731.4138951,73.56835172
734.6611135,71.82695131
739.531941,70.53702507
744.4027684,71.26260858
749.2735959,72.1978051
753.0620173,70.90787886
755.7100465,69.27704355
758.2614324,67.64620824
763.0742738,66.95747977
767.9451013,66.98972793
772.8159288,66.07065549
777.280854,64.52274401
781.3398769,63.11027478
785.8048021,61.6042859
790.6756296,60.3627319
795.5464571,59.81451325
800.4172846,58.73420003
802.9106844,57.11488192
805.6940144,55.46101221
808.5353304,54.04209335
813.4061579,54.10658966
818.2769854,55.20302696
822.6066098,54.17108598
824.771422,52.73604304
826.8009335,51.46224088
830.4540541,49.30967648
833.7012724,47.93106782
837.7602953,46.62501751
844.254732,46.57664527
849.1255595,47.44734548
853.5904847,48.67600022
858.3453401,49.3338626
861.8708914,48.21162677
863.3321396,46.45087746
864.1439442,44.96101266
865.7675534,43.43245008
867.2558618,41.73942189
869.47866,40.17077946
875.5092084,40.46561974
879.4522592,41.17968605
882.6124985,40.19151041
884.4390588,38.54685446
886.4685702,36.85382628
888.8459979,35.1262465
891.7453,34.07242284
896.2102252,33.72575516
901.0810527,33.51614215
905.9518802,33.41939768
910.8227077,32.6776901
915.2876329,31.06850712
917.7230466,29.93659685
922.1879718,28.74341509
927.0587993,27.75984633
932.1325779,28.23147561
935.5827474,29.85194544
939.235868,31.83923805
944.1066955,32.9679235
949.3834253,33.17753652
953.4424482,31.99725401
956.8249673,30.37194696
959.5309826,28.79984936
962.3722986,26.87302205
964.8077123,24.90588454
967.2431261,22.84200256
969.6785398,20.9877336
972.4618698,19.5780285
977.3906834,18.29501259
982.2615108,17.13407898
987.1323383,16.21500654
992.0031658,15.86027682
996.8739933,15.97314537
1001.744821,16.18275838
1006.615648,16.44074363
1011.486476,15.89252498
1016.357303,14.50585428
1021.228131,12.89344648
1026.098958,11.345535
1030.969786,10.02336061
1037.464222,9.878243911
1042.33505,9.668630898
1047.205877,9.65250682
1052.076705,9.10428817
1056.135728,8.023974949
1060.194751,6.895289494
1065.065578,6.024589286
1068.718699,5.315129857
1075.619038,5.153889078
1080.489865,4.621794506
1085.360693,4.347685182
1090.23152,4.057451779
1095.102348,3.573729441
1099.567273,3.206100464
